Description,Author,Recipient,Date,Year,Location,Origin,Destination
"18 Mar 1620: Braunschweig-Wolfenbüttel, Sophia Hedwig von, 1592-1642 (Vianen, Utrecht, Netherlands) to Pallandt, Floris II van, 1577-1639","Braunschweig-Wolfenbüttel, Sophia Hedwig von, 1592-1642","Pallandt, Floris II van, 1577-1639",1620-03-18T00:00:00Z,1620,"Gelders Archief, Rijksarchief Gelderland
Gemeentearchieven van Arnhem, Renkum, Rheden en Rozendaal
State Archives Gelderland
Municipal archives of Arnhem, Renkum, Rheden and Rozendaal, Arnhem, Netherlands","Vianen, Utrecht, Netherlands",
"1 Feb 1622: Sydenberch, Elisabeth van, fl. 1622 (Utrecht, Utrecht, Netherlands) to Huygens, Constantijn, 1596-1687 (London, England, United Kingdom)","Sydenberch, Elisabeth van, fl. 1622","Huygens, Constantijn, 1596-1687",1622-02-01T00:00:00Z,1622,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","London, England, United Kingdom"
"1622: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Cats, Jacob, 1577-1660","Schurman, Anna Maria van, 1607-1678","Cats, Jacob, 1577-1660",1622-12-31T00:00:00Z,1622,"Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Tresoar, Fries Historisch en Letterkundig Centrum
Frysk Histoarysk en Letterkundich Sintrum
Provinciale Bibliotheek Friesland
Provincial Libary, Leeuwarden
Tresoar, Frysk Histoarysk en Letterkundich Sintrum, Leeuwarden, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands",
"6 Oct 1628: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Conway, Edward (Sir), 1564-1631 (Windsor, Berkshire, England)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Conway, Edward (Sir), 1564-1631",1628-10-06T00:00:00Z,1628,,"Rhenen, Utrecht, Netherlands","Windsor, Berkshire, England"
"9 May 1629: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Staeckmans, Willem, 1597-1641","Schurman, Anna Maria van, 1607-1678","Staeckmans, Willem, 1597-1641",1629-05-09T00:00:00Z,1629,,"Utrecht, Utrecht, Netherlands",
"21 Jun 1629: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Hay, James, 1580-1636","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Hay, James, 1580-1636",1629-06-21T00:00:00Z,1629,,"Rhenen, Utrecht, Netherlands",
"13 Jul 1629: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Roe, Thomas (Sir), 1581-1644 (The Hague, South Holland, Netherlands)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644",1629-07-13T00:00:00Z,1629,,"Rhenen, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"23 Jul 1629: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Roe, Thomas (Sir), 1581-1644","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644",1629-07-23T00:00:00Z,1629,,"Rhenen, Utrecht, Netherlands",
"24 Jul 1629: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Carleton, Dudley, 1574-1632 (England)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Carleton, Dudley, 1574-1632",1629-07-24T00:00:00Z,1629,,"Rhenen, Utrecht, Netherlands",England
"29 Sep 1630: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Hamilton, James, 1606-1649","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Hamilton, James, 1606-1649",1630-09-29T00:00:00Z,1630,,"Rhenen, Utrecht, Netherlands",
"20 Jul 1631: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1631-07-20T00:00:00Z,1631,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"25 Jul 1631: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Laud, William, 1573-1645","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Laud, William, 1573-1645",1631-07-25T00:00:00Z,1631,,"Rhenen, Utrecht, Netherlands",
"2 Sep 1631: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Roe, Thomas (Sir), 1581-1644 (London, England, United Kingdom)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Roe, Thomas (Sir), 1581-1644",1631-09-02T00:00:00Z,1631,,"Rhenen, Utrecht, Netherlands","London, England, United Kingdom"
"7 Sep 1631: Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands) to Wake, Isaac (Sir), 1580-1632 (Paris, Île-de-France, France)","Stuart, Elizabeth, Queen of Bohemia, 1596-1662","Wake, Isaac (Sir), 1580-1632",1631-09-07T00:00:00Z,1631,,"Rhenen, Utrecht, Netherlands","Paris, Île-de-France, France"
"2 Jan 1632 to 1 Jan 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-01-02T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"2 Jan 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (Leiden, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-01-02T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Leiden, South Holland, Netherlands"
"25 Mar 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-03-25T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"20 Apr 1632: Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands) to Rivet, André, 1572-1651 (The Hague, South Holland, Netherlands)","Schurman, Anna Maria van, 1607-1678","Rivet, André, 1572-1651",1632-04-20T00:00:00Z,1632,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
