Description,Author,Recipient,Date,Year,Location,Origin,Destination
"30 Mar 1619: Huygens, Constantijn, 1596-1687 (Utrecht, Utrecht, Netherlands) to Huygens, Christiaan, 1551-1624 ~ Hoefnagel, Susanna, 1561-1633 (The Hague, South Holland, Netherlands)","Huygens, Constantijn, 1596-1687","Hoefnagel, Susanna, 1561-1633; Huygens, Christiaan, 1551-1624",1619-03-30T00:00:00Z,1619,"Koninklijke Bibliotheek, KB
National Library of the Netherlands
Royal Library of the Netherland
Royal Library, The Hague, The Hague, Den Haag, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"16 Oct 1627: Frederick V, Elector Palatine, 1596-1632 (Amerongen, Utrecht, Netherlands) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands)","Frederick V, Elector Palatine, 1596-1632","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1627-10-16T00:00:00Z,1627,,"Amerongen, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"21 Oct 1627: Frederick V, Elector Palatine, 1596-1632 (Amerongen, Utrecht, Netherlands) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (The Hague, South Holland, Netherlands)","Frederick V, Elector Palatine, 1596-1632","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1627-10-21T00:00:00Z,1627,,"Amerongen, Utrecht, Netherlands","The Hague, South Holland, Netherlands"
"30 Mar 1628: Frederick Henry of the Palatinate, 1614-1629 (The Hague, South Holland, Netherlands) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Utrecht, Utrecht, Netherlands)","Frederick Henry of the Palatinate, 1614-1629","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1628-03-30T00:00:00Z,1628,,"The Hague, South Holland, Netherlands","Utrecht, Utrecht, Netherlands"
"2 Apr 1628: Roe, Thomas (Sir), 1581-1644 (Istanbul, Turkey) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands)","Roe, Thomas (Sir), 1581-1644","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1628-04-02T00:00:00Z,1628,,"Istanbul, Turkey","Rhenen, Utrecht, Netherlands"
"16 Apr 1628: Nethersole, Francis (Sir), 1587-1659 (Strand, London, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands)","Nethersole, Francis (Sir), 1587-1659","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1628-04-16T00:00:00Z,1628,,"Strand, London, England","Rhenen, Utrecht, Netherlands"
"24 Apr 1628: Nethersole, Francis (Sir), 1587-1659 (Strand, London, England) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands)","Nethersole, Francis (Sir), 1587-1659","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1628-04-24T00:00:00Z,1628,,"Strand, London, England","Rhenen, Utrecht, Netherlands"
"24 Apr 1628: Nethersole, Francis (Sir), 1587-1659 (London, England, United Kingdom) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands)","Nethersole, Francis (Sir), 1587-1659","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1628-04-24T00:00:00Z,1628,,"London, England, United Kingdom","Rhenen, Utrecht, Netherlands"
"5 Jun 1629: Buchelius, Arnoldus, 1565-1641 (Utrecht, Utrecht, Netherlands) to Schurman, Anna Maria van, 1607-1678 (Utrecht, Utrecht, Netherlands)","Buchelius, Arnoldus, 1565-1641","Schurman, Anna Maria van, 1607-1678",1629-06-05T00:00:00Z,1629,"Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland, Universiteitsbibliotheek Utrecht, Utrecht University Library
Utrecht Universiteitsbibliotheek
Utrecht UB, Utrecht, Netherlands, Nederland
Holland","Utrecht, Utrecht, Netherlands","Utrecht, Utrecht, Netherlands"
"26 Jun 1629: Frederick V, Elector Palatine, 1596-1632 ('s-Hertogenbosch, North Brabant, Netherlands) to Stuart, Elizabeth, Queen of Bohemia, 1596-1662 (Rhenen, Utrecht, Netherlands)","Frederick V, Elector Palatine, 1596-1632","Stuart, Elizabeth, Queen of Bohemia, 1596-1662",1629-06-26T00:00:00Z,1629,,"'s-Hertogenbosch, North Brabant, Netherlands","Rhenen, Utrecht, Netherlands"
